NCC - Listagem detalhada de produtos;;;;;;;;;;;;;
Filtros; ;Descrição:;Todos;Ref.:;Todos;;;;;;;;
;;Grupo:;Todos;Texto NF:;Todos;;;;;;;;
;;Fabricante:;Todos;Dt. cad.:;Todos;;;;;;;;
Código;;Descrição;;Referência;UND;"Gên.
";NCM;CEST;CST ICMS;CST IPI;CST PIS;CST COFINS;Natureza
1065;;BROCA AÇO RÁPIDO 12MM IRWIM;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
353;;BROCA C SUPORTE  SERRA COPO 3/8 32 A 200MM WORKER;;;UN;82;8207.90.00;;000;099;099;099;
 ;;;;;;;;;;;;;
354;;BROCA CHATA ATC 1'';;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
355;;BROCA CHATA IRWIN 11/16;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
356;;BROCA DE ACO 1/8;;;UN;82;8207.50.11;;000;099;099;099;
 ;;;;;;;;;;;;;
523;;BROCA FORSTNER MADEIRA 20MM- WORKER;;;UN;82;8207.70.90;;000;099;099;099;
 ;;;;;;;;;;;;;
352;;BROCA FORSTNER MADEIRA 22MM - WORKER;;;UN;82;8207.70.90;;000;099;099;099;
 ;;;;;;;;;;;;;
357;;BROCA P ACO 5/32;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
358;;BROCA P CONCRETO 10MM;;;UN;82;8207.50.11;;000;099;099;099;
 ;;;;;;;;;;;;;
359;;BROCA P CONCRETO 6MM;;;UN;82;8207.50.11;;000;099;099;099;
 ;;;;;;;;;;;;;
360;;BROCA P CONCRETO 8MM;;;UN;82;8207.50.11;;000;099;099;099;
 ;;;;;;;;;;;;;
361;;BROCA P MADEIRA 10MM IRWIN;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
108;;BROCA PARA CANECO DOBRADICA 35MM  WURTH;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
163;;BUCHA BRANCA 10MM;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
877;;BUCHA BRANCA MU 10MM C/50UND;;;UN;39;3926.90.90;;000;099;099;099;
 ;;;;;;;;;;;;;
878;;BUCHA BRANCA MU 6MM C/200UND;;;UN;39;3926.90.90;;000;099;099;099;
 ;;;;;;;;;;;;;
879;;BUCHA BRANCA MU 8MM C/100UND;;;UN;39;3926.90.90;;000;099;099;099;
 ;;;;;;;;;;;;;
880;;BUCHA BRANCA P GESSO N 2;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
1069;;"BUCHA PLASTICA COM ROSCA METALICA DVBP 1/4""";;;UN;39;3926.30.00;;;;;;
 ;;;;;;;;;;;;;
140;;CABIDE BASCULANTE DUAL SLOW 660 890 PRATA CROMADO FGVTN;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
141;;CABIDE GANCHO PEQUENO SIMPLES CROMADO;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
142;;CABIDE GANCHO ZAMAC GRANDE DUPLO VERTICAL CROMADO;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
143;;CABIDE GANCHO ZAMAC GRANDE DUPLO VERTICAL PRETO FOSCO;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
161;;CABO FLEX CONDUTORES 750V 2,5MM 100MT;;;UN;85;8544.49.00;;000;099;099;099;
 ;;;;;;;;;;;;;
1179;;CABO FLEX CONDUTORES 750V 2,5MM 100MT COBRECOM;;;UN;85;8544.49.00;;000;099;099;099;
 ;;;;;;;;;;;;;
144;;CABO FLEXIVEL 1,5MM 100MT;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
145;;CABO FLEXIVEL PP 500V 2,5MM C 100MT - MEGATRON;;;MT;85;8544.49.00;;000;099;099;099;
 ;;;;;;;;;;;;;
71;;CADERNO CAPA DURA 180X255MM MIOLO OFFSET 75GR 95PG;;;UN;44;4820.20.00;;000;099;099;099;
 ;;;;;;;;;;;;;
146;;CALCO 1,5MM P FECHADURA FGVTN;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
444;;CALCO P/DOB.MINI H5;;;UN;83;8302.10.00;;000;099;099;099;
 ;;;;;;;;;;;;;
1106;;CALCULADORA MESA CASIO MX12B W4 PILHA/SO;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
169;;CANALETA  PERFI BRANCO LED SLIM  SOBREPOR 1,7 X14 MM 2 MT;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
147;;CANALETA DE PVC 2.75 BRANCO MULTIPERFIL;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
766;;CANALETA PERFIL BRANCO LED SOBREPOR SLIM P FITA LED 17X7MM C 2MT;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
751;;CANALETA PERFIL LED DE EMBUTIR 2MT BRANCO;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
765;;CANALETA PERFIL LED DE EMBUTIR 3MT BRANCO FEGRAF PAE-001BR/3;;;UN;76;7604.29.20;;000;099;099;099;
 ;;;;;;;;;;;;;
704;;CANALETA PERFIL LED SOBREPOR 2MT PRETO;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
798;;CANALETA PERFIL LED SOBREPOR BRANCO 3MT FEGRAF PAS-002BR/3;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
767;;CANALETA PERFIL LED SOBREPOR PRETO 3MT FEGRAF PAS-002PT/3;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
363;;CANETA BIC CRISTAL;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
323;;CANTONEIRA 2 FUROS  NIQUELADO 17X17MM FGVTN C/100UND;;;UN;44;9403.60.00;;000;099;099;099;
 ;;;;;;;;;;;;;
